,date,amount,total
487,2021-07-02 00:00:00+00:00,0,6432
488,2021-07-03 00:00:00+00:00,0,6432
489,2021-07-04 00:00:00+00:00,0,6432
490,2021-07-05 00:00:00+00:00,0,6432
491,2021-07-06 00:00:00+00:00,0,6432
492,2021-07-07 00:00:00+00:00,1,6433
493,2021-07-08 00:00:00+00:00,2,6435
494,2021-07-09 00:00:00+00:00,0,6435
495,2021-07-10 00:00:00+00:00,2,6437
496,2021-07-11 00:00:00+00:00,2,6439
497,2021-07-12 00:00:00+00:00,2,6441
498,2021-07-13 00:00:00+00:00,1,6442
499,2021-07-14 00:00:00+00:00,3,6445
500,2021-07-15 00:00:00+00:00,1,6446
501,2021-07-16 00:00:00+00:00,0,6446
502,2021-07-17 00:00:00+00:00,1,6447
503,2021-07-18 00:00:00+00:00,3,6450
504,2021-07-19 00:00:00+00:00,0,6450
